DEP,GNN,ENC,Src,en,hi,te,ALL
stanza,rgcn,mbert-base,en,-,0.6013578358968429,0.3826835829330933,0.4920207094149681
stanza,rgat,mbert-base,en,-,0.5872273404892381,0.4058189039337745,0.4965231222115063
trankit,rgcn,mbert-base,en,-,0.6252109012111272,0.3796363849371776,0.5024236430741524
trankit,rgat,mbert-base,en,-,0.6182440565507995,0.3782190668065321,0.4982315616786658
-,-,mbert-base,en,-,0.6073101158756042,0.35291590727969036,0.4801130115776473
stanza,rgcn,mbert-base,hi,0.6858705725594376,-,0.4942754186267568,0.5900729955930972
stanza,rgat,mbert-base,hi,0.677629161010277,-,0.49689728371421366,0.5872632223622454
trankit,rgcn,mbert-base,hi,0.6809623484366917,-,0.4959234328197102,0.5884428906282009
trankit,rgat,mbert-base,hi,0.6800749068059683,-,0.5385790982082602,0.6093270025071142
-,-,mbert-base,hi,0.6968709198225861,-,0.4954561199979919,0.596163519910289
stanza,rgcn,mbert-base,te,0.455526867154373,0.5402046232627212,-,0.4978657452085471
stanza,rgat,mbert-base,te,0.448083357114462,0.5662633032147085,-,0.5071733301645853
trankit,rgcn,mbert-base,te,0.4771471648206971,0.5419670680588463,-,0.5095571164397716
trankit,rgat,mbert-base,te,0.4614606700221919,0.5423432606045971,-,0.5019019653133945
-,-,mbert-base,te,0.4530940811419288,0.5439114228526599,-,0.4985027519972943
stanza,rgcn,xlmr-base,en,-,0.5591181679528852,0.36986445854482275,0.46449131324885395
stanza,rgat,xlmr-base,en,-,0.5554336612356577,0.3783340112250167,0.46688383623033725
trankit,rgcn,xlmr-base,en,-,0.5880040842987527,0.36407546384160283,0.4760397740701778
trankit,rgat,xlmr-base,en,-,0.6099730483921998,0.39012360982114686,0.5000483291066733
-,-,xlmr-base,en,-,0.574335862209807,0.3737362650389228,0.4740360636243649
stanza,rgcn,xlmr-base,hi,0.5740677645669049,-,0.5469440338619252,0.5605058992144151
stanza,rgat,xlmr-base,hi,0.6104739863295959,-,0.5481723062342212,0.5793231462819086
trankit,rgcn,xlmr-base,hi,0.5954742989750612,-,0.5431960967641422,0.5693351978696017
trankit,rgat,xlmr-base,hi,0.5732674972126678,-,0.5475168006481105,0.5603921489303891
-,-,xlmr-base,hi,0.5912164085898294,-,0.5369884821112364,0.5641024453505329
stanza,rgcn,xlmr-base,te,0.41193335319466423,0.5546051944306899,-,0.48326927381267704
stanza,rgat,xlmr-base,te,0.38962815968001335,0.5197321313186255,-,0.45468014549931945
trankit,rgcn,xlmr-base,te,0.41834728016124495,0.5373492784669018,-,0.47784827931407337
trankit,rgat,xlmr-base,te,0.4135672320670367,0.5366445954658065,-,0.4751059137664216
-,-,xlmr-base,te,0.40937846606626516,0.5283842535720056,-,0.46888135981913537
