DEP,GNN,ENC,en,hi,te,ALL
stanza,rgcn,mbert-base,0.9443197750824446,0.9088336293369103,0.8607515585236518,0.9046349876476688
stanza,rgat,mbert-base,0.9492049898420397,0.8954389911143142,0.8591452730594314,0.9012630846719284
trankit,rgcn,mbert-base,0.9400532073301759,0.8972694003595904,0.8588161985987396,0.898712935429502
trankit,rgat,mbert-base,0.940695743800689,0.8891554491560739,0.845620745169745,0.8918239793755026
-,-,mbert-base,0.9429910619271399,0.896397357740541,0.8486054606145771,0.8959979600940859
stanza,rgcn,xlmr-base,0.9184342739363909,0.8963716683057226,0.8563071667819594,0.8903710363413576
stanza,rgat,xlmr-base,0.9215499348809782,0.8987998189619644,0.8569290815236391,0.8924262784555271
trankit,rgcn,xlmr-base,0.9186826606413753,0.8992884116189921,0.8517790194887319,0.8899166972496998
trankit,rgat,xlmr-base,0.9256220466930073,0.8921037289740404,0.8588711696277832,0.8921989817649436
-,-,xlmr-base,0.9207406397837561,0.8865501990949487,0.8626065193525797,0.8899657860770948
