src,ml_model,dep_model,split,sent_len_mean,lex_len_mean,dep_len_mean,sent_len_median,lex_len_median,dep_len_median,num_docs,num_relations
en,mbert-base,stanza,train,31.16,13.89,5.43,29.0,11.0,5.0,6788,51
en,mbert-base,stanza,validation,31.58,14.17,5.4,29.0,12.0,5.0,849,50
en,mbert-base,stanza,test,31.39,13.85,5.4,29.0,11.0,5.0,849,50
hi,mbert-base,stanza,train,66.3,27.07,5.7,56.0,21.0,5.0,5570,51
hi,mbert-base,stanza,validation,68.53,28.66,5.76,57.0,22.0,5.0,696,51
hi,mbert-base,stanza,test,68.67,27.68,5.72,59.0,22.0,6.0,697,51
te,mbert-base,stanza,train,151.99,44.51,6.06,140.0,31.0,6.0,6523,51
te,mbert-base,stanza,validation,151.23,46.58,5.9,138.0,33.0,6.0,815,47
te,mbert-base,stanza,test,147.34,44.75,6.12,133.0,30.0,6.0,816,49
en,mbert-base,trankit,train,31.16,13.89,5.42,29.0,11.0,5.0,6788,51
en,mbert-base,trankit,validation,31.58,14.17,5.39,29.0,12.0,5.0,849,50
en,mbert-base,trankit,test,31.39,13.85,5.38,29.0,11.0,5.0,849,50
hi,mbert-base,trankit,train,66.3,27.07,5.83,56.0,21.0,6.0,5570,51
hi,mbert-base,trankit,validation,68.53,28.66,5.95,57.0,22.0,6.0,696,51
hi,mbert-base,trankit,test,68.67,27.68,5.9,59.0,22.0,6.0,697,51
te,mbert-base,trankit,train,151.99,44.51,5.69,140.0,31.0,6.0,6523,51
te,mbert-base,trankit,validation,151.23,46.58,5.66,138.0,33.0,6.0,815,47
te,mbert-base,trankit,test,147.34,44.75,5.71,133.0,30.0,6.0,816,49
en,xlmr-base,stanza,train,34.34,15.9,5.43,32.0,13.0,5.0,6788,51
en,xlmr-base,stanza,validation,34.8,16.43,5.4,32.0,14.0,5.0,849,50
en,xlmr-base,stanza,test,34.55,15.9,5.4,32.0,13.0,5.0,849,50
hi,xlmr-base,stanza,train,55.85,22.66,5.7,48.0,17.0,5.0,5570,51
hi,xlmr-base,stanza,validation,57.89,23.97,5.76,48.0,18.0,5.0,696,51
hi,xlmr-base,stanza,test,57.87,23.25,5.72,49.0,18.0,6.0,697,51
te,xlmr-base,stanza,train,126.06,37.23,6.06,114.0,26.0,6.0,6523,51
te,xlmr-base,stanza,validation,125.52,39.2,5.9,114.0,27.0,6.0,815,47
te,xlmr-base,stanza,test,122.07,37.3,6.12,110.0,25.0,6.0,816,49
en,xlmr-base,trankit,train,34.34,15.9,5.42,32.0,13.0,5.0,6788,51
en,xlmr-base,trankit,validation,34.8,16.43,5.39,32.0,14.0,5.0,849,50
en,xlmr-base,trankit,test,34.55,15.9,5.38,32.0,13.0,5.0,849,50
hi,xlmr-base,trankit,train,55.85,22.66,5.83,48.0,17.0,6.0,5570,51
hi,xlmr-base,trankit,validation,57.89,23.97,5.95,48.0,18.0,6.0,696,51
hi,xlmr-base,trankit,test,57.87,23.25,5.9,49.0,18.0,6.0,697,51
te,xlmr-base,trankit,train,126.06,37.23,5.69,114.0,26.0,6.0,6523,51
te,xlmr-base,trankit,validation,125.52,39.2,5.66,114.0,27.0,6.0,815,47
te,xlmr-base,trankit,test,122.07,37.3,5.71,110.0,25.0,6.0,816,49
