dataset,lang,LLM,dep_model,macro_f1
indore,en,llama3,stanza,0.4797139056498998
indore,en,llama3,trankit,0.4619065762714632
indore,en,mistral,stanza,0.5083834011489115
indore,en,mistral,trankit,0.5086501253863676
indore,en,qwen,stanza,0.4471365329404863
indore,en,qwen,trankit,0.4400754451274992
indore,hi,llama3,stanza,0.445345093354155
indore,hi,llama3,trankit,0.4276042284741029
indore,hi,mistral,stanza,0.3850985260878327
indore,hi,mistral,trankit,0.3826767360210273
indore,hi,qwen,stanza,0.4538363221562884
indore,hi,qwen,trankit,0.4589255747483614
indore,te,llama3,stanza,0.2978218310788239
indore,te,llama3,trankit,0.2953931331179379
indore,te,mistral,stanza,0.1031088782232436
indore,te,mistral,trankit,0.1123417896253612
indore,te,qwen,stanza,0.2860269154720808
indore,te,qwen,trankit,0.2656984721788588
redfm,ar,llama3,stanza,0.3351662526139696
redfm,ar,llama3,trankit,0.3312819422858143
redfm,ar,mistral,stanza,0.3912470573300455
redfm,ar,mistral,trankit,0.3925615508214129
redfm,ar,qwen,stanza,0.4213692539997647
redfm,ar,qwen,trankit,0.3994641651244504
redfm,de,llama3,stanza,0.3498255673243881
redfm,de,llama3,trankit,0.3518387506286374
redfm,de,mistral,stanza,0.3946619705525374
redfm,de,mistral,trankit,0.3966615337778215
redfm,de,qwen,stanza,0.328273979183838
redfm,de,qwen,trankit,0.360279551432261
redfm,en,llama3,stanza,0.3230491542338488
redfm,en,llama3,trankit,0.3556944567154939
redfm,en,mistral,stanza,0.4085400439108438
redfm,en,mistral,trankit,0.3934352522234722
redfm,en,qwen,stanza,0.3980941231598106
redfm,en,qwen,trankit,0.3539812842369799
redfm,es,llama3,stanza,0.3162972887224815
redfm,es,llama3,trankit,0.3143630306067994
redfm,es,mistral,stanza,0.3706407861615867
redfm,es,mistral,trankit,0.3629660937944607
redfm,es,qwen,stanza,0.3726888459265556
redfm,es,qwen,trankit,0.394221840095817
redfm,fr,llama3,stanza,0.3052332505344625
redfm,fr,llama3,trankit,0.2871766932857755
redfm,fr,mistral,stanza,0.3656354366280296
redfm,fr,mistral,trankit,0.3690255341311105
redfm,fr,qwen,stanza,0.3361186638351317
redfm,fr,qwen,trankit,0.3474701534704937
redfm,it,llama3,stanza,0.3401499235285728
redfm,it,llama3,trankit,0.3034059599654691
redfm,it,mistral,stanza,0.4021893984701188
redfm,it,mistral,trankit,0.3778033821580537
redfm,it,qwen,stanza,0.3837563088563321
redfm,it,qwen,trankit,0.3859320212015522
redfm,zh,llama3,stanza,0.3609297495718958
redfm,zh,llama3,trankit,0.3534950354459143
redfm,zh,mistral,stanza,0.3670829593850365
redfm,zh,mistral,trankit,0.3809813473296188
redfm,zh,qwen,stanza,0.4040236220129071
redfm,zh,qwen,trankit,0.3445938286043898
