DEP,GNN,ENC,en,es,fr,it,de
stanza,rgcn,mbert-base,85.7\pm0.8,80.5\pm1.0,79.7\pm1.0,78.2\pm0.5,80.0\pm0.9
stanza,rgat,mbert-base,85.2\pm1.4,82.2\pm0.6,79.9\pm0.4,77.9\pm1.2,80.5\pm0.6
trankit,rgcn,mbert-base,84.3\pm0.4,81.8\pm0.8,80.7\pm0.8,78.9\pm0.7,79.7\pm0.9
trankit,rgat,mbert-base,85.5\pm1.3,80.9\pm0.3,80.2\pm0.2,77.3\pm0.8,78.9\pm0.7
-,-,mbert-base,84.3\pm0.7,80.0\pm0.6,78.6\pm0.3,76.3\pm0.8,78.7\pm0.3
stanza,rgcn,xlmr-base,83.7\pm0.6,76.8\pm0.8,76.7\pm0.9,73.3\pm0.7,75.7\pm1.5
stanza,rgat,xlmr-base,84.0\pm0.8,77.5\pm1.4,74.4\pm0.9,75.6\pm1.2,76.2\pm1.1
trankit,rgcn,xlmr-base,83.8\pm0.5,76.4\pm1.1,74.7\pm1.0,72.6\pm2.3,73.9\pm2.6
trankit,rgat,xlmr-base,82.6\pm0.8,77.3\pm0.2,75.0\pm0.3,74.0\pm1.7,75.9\pm0.1
-,-,xlmr-base,84.0\pm1.1,77.2\pm2.0,76.2\pm1.0,74.8\pm1.2,75.2\pm0.6
