dep_model,gnn_model,ml_model,Dataset,DOMAIN,f1
stanza,rgcn,mbert-base,indore,ID,0.8989358651890247
stanza,rgat,mbert-base,indore,ID,0.8931200658273966
trankit,rgcn,mbert-base,indore,ID,0.8908251874169599
trankit,rgat,mbert-base,indore,ID,0.8859656883865384
-,-,mbert-base,indore,ID,0.8880559987680107
+,+,mbert-base,indore,ZS,0.89221170170498
stanza,rgcn,xlmr-base,indore,ID,0.8793396918161053
stanza,rgat,xlmr-base,indore,ID,0.8864951200202928
trankit,rgcn,xlmr-base,indore,ID,0.8828363639784592
trankit,rgat,xlmr-base,indore,ID,0.8761634045495789
-,-,xlmr-base,indore,ID,0.8824486154116045
+,+,xlmr-base,indore,ZS,0.8812086450911091
stanza,rgcn,mbert-base,indore,ZS,0.5084323551809232
stanza,rgat,mbert-base,indore,ZS,0.5140981991463438
trankit,rgcn,mbert-base,indore,ZS,0.5205767669099778
trankit,rgat,mbert-base,indore,ZS,0.5215492035647177
-,-,mbert-base,indore,ZS,0.5090507310503635
+,+,mbert-base,indore,ZS,0.5161641312004907
stanza,rgcn,xlmr-base,indore,ZS,0.47154343239136914
stanza,rgat,xlmr-base,indore,ZS,0.4808697966810826
trankit,rgcn,xlmr-base,indore,ZS,0.48999681699692876
trankit,rgat,xlmr-base,indore,ZS,0.4780905577264961
-,-,xlmr-base,indore,ZS,0.4801360853343199
+,+,xlmr-base,indore,ZS,0.4801251509489692
stanza,rgcn,mbert-base,redfm,ID,0.7991352886271966
stanza,rgat,mbert-base,redfm,ID,0.7999914288861731
trankit,rgcn,mbert-base,redfm,ID,0.8008892564896982
trankit,rgat,mbert-base,redfm,ID,0.7961138114143701
-,-,mbert-base,redfm,ID,0.7883712898159733
+,+,mbert-base,redfm,ZS,0.7990324463543597
stanza,rgcn,xlmr-base,redfm,ID,0.7580294607679479
stanza,rgat,xlmr-base,redfm,ID,0.762526825961602
trankit,rgcn,xlmr-base,redfm,ID,0.7526049262064467
trankit,rgat,xlmr-base,redfm,ID,0.7587516093345857
-,-,xlmr-base,redfm,ID,0.7591767788422491
+,+,xlmr-base,redfm,ZS,0.7579782055676455
stanza,rgcn,mbert-base,redfm,ZS,0.7495584373571045
stanza,rgat,mbert-base,redfm,ZS,0.7504740930029158
trankit,rgcn,mbert-base,redfm,ZS,0.7512325257826635
trankit,rgat,mbert-base,redfm,ZS,0.7521812634927377
-,-,mbert-base,redfm,ZS,0.743112910333832
+,+,mbert-base,redfm,ZS,0.7508615799088553
stanza,rgcn,xlmr-base,redfm,ZS,0.6714642348457442
stanza,rgat,xlmr-base,redfm,ZS,0.6684031720059268
trankit,rgcn,xlmr-base,redfm,ZS,0.6687524401963445
trankit,rgat,xlmr-base,redfm,ZS,0.6717042459328134
-,-,xlmr-base,redfm,ZS,0.6681066131833177
+,+,xlmr-base,redfm,ZS,0.6700810232452071
